ax,ay,az,gx,gy,gz
5.676200000000000134e-01,-8.137079999999999869e-01,9.601034999999999542e+00,1.064999999999999974e-03,1.863999999999999988e-03,-1.064999999999999974e-03
5.783970000000000500e-01,-8.244850000000000234e-01,9.575888000000000844e+00,5.330000000000000536e-04,-2.660000000000000146e-04,-3.196000000000000056e-03
5.873789999999999845e-01,-8.190969999999999640e-01,9.629775000000000418e+00,1.332000000000000068e-03,1.598000000000000028e-03,-2.660000000000000146e-04
5.927670000000000439e-01,-8.280779999999999808e-01,9.604627999999999943e+00,1.064999999999999974e-03,3.727999999999999977e-03,-1.332000000000000068e-03
5.658229999999999649e-01,-8.388560000000000461e-01,9.602831000000000117e+00,1.064999999999999974e-03,2.396999999999999825e-03,0.000000000000000000e+00
5.604350000000000165e-01,-8.190969999999999640e-01,9.613607999999999265e+00,2.929000000000000180e-03,-5.330000000000000536e-04,-1.863999999999999988e-03
5.873789999999999845e-01,-8.244850000000000234e-01,9.579480000000000217e+00,1.863999999999999988e-03,3.461999999999999800e-03,-5.330000000000000536e-04
5.766010000000000302e-01,-8.280779999999999808e-01,9.583073000000000619e+00,5.330000000000000536e-04,1.863999999999999988e-03,-2.396999999999999825e-03
5.819900000000000073e-01,-8.370589999999999975e-01,9.629775000000000418e+00,1.863999999999999988e-03,7.990000000000000140e-04,7.990000000000000140e-04
5.963600000000000012e-01,-8.173000000000000265e-01,9.568702000000000041e+00,-5.330000000000000536e-04,-2.660000000000000146e-04,-7.990000000000000140e-04
5.963600000000000012e-01,-8.101150000000000295e-01,9.559720999999999691e+00,1.863999999999999988e-03,5.330000000000000536e-04,0.000000000000000000e+00
5.927670000000000439e-01,-8.298740000000000006e-01,9.644144999999999968e+00,1.064999999999999974e-03,-2.663000000000000003e-03,-3.727999999999999977e-03
5.783970000000000500e-01,-8.514289999999999914e-01,9.622590000000000643e+00,3.196000000000000056e-03,1.332000000000000068e-03,-3.196000000000000056e-03
5.999520000000000408e-01,-8.244850000000000234e-01,9.557923999999999864e+00,2.131000000000000082e-03,1.598000000000000028e-03,-7.990000000000000140e-04
5.945639999999999814e-01,-8.208929999999999838e-01,9.593849999999999767e+00,1.064999999999999974e-03,-1.863999999999999988e-03,-2.131000000000000082e-03
5.909710000000000241e-01,-8.352629999999999777e-01,9.611812999999999718e+00,1.064999999999999974e-03,2.131000000000000082e-03,0.000000000000000000e+00
5.981560000000000210e-01,-8.496329999999999716e-01,9.597443000000000168e+00,2.929000000000000180e-03,-1.863999999999999988e-03,-5.330000000000000536e-04
5.981560000000000210e-01,-8.280779999999999808e-01,9.595646000000000342e+00,2.660000000000000146e-04,5.330000000000000536e-04,0.000000000000000000e+00
5.712120000000000530e-01,-8.280779999999999808e-01,9.575888000000000844e+00,2.660000000000000146e-04,1.863999999999999988e-03,-2.660000000000000146e-04
5.891750000000000043e-01,-8.280779999999999808e-01,9.570498000000000616e+00,1.598000000000000028e-03,1.598000000000000028e-03,-1.332000000000000068e-03
5.873789999999999845e-01,-8.550219999999999487e-01,9.604627999999999943e+00,3.196000000000000056e-03,1.064999999999999974e-03,-2.929000000000000180e-03
5.837860000000000271e-01,-8.262819999999999609e-01,9.615405000000000868e+00,-5.330000000000000536e-04,3.995000000000000287e-03,-1.598000000000000028e-03
5.855820000000000469e-01,-7.975419999999999732e-01,9.583073000000000619e+00,2.660000000000000146e-04,1.332000000000000068e-03,-2.663000000000000003e-03
5.855820000000000469e-01,-8.406519999999999548e-01,9.568702000000000041e+00,2.660000000000000146e-04,-1.064999999999999974e-03,-3.995000000000000287e-03
5.945639999999999814e-01,-8.316710000000000491e-01,9.602831000000000117e+00,-2.660000000000000146e-04,-5.330000000000000536e-04,-1.598000000000000028e-03
5.801939999999999875e-01,-8.370589999999999975e-01,9.615405000000000868e+00,1.064999999999999974e-03,-2.396999999999999825e-03,-4.261000000000000031e-03
5.819900000000000073e-01,-8.262819999999999609e-01,9.590258000000000393e+00,1.863999999999999988e-03,-5.330000000000000536e-04,-1.332000000000000068e-03
5.963600000000000012e-01,-8.226890000000000036e-01,9.574090999999999241e+00,2.131000000000000082e-03,-1.332000000000000068e-03,-3.196000000000000056e-03
5.927670000000000439e-01,-8.406519999999999548e-01,9.593849999999999767e+00,1.863999999999999988e-03,-3.727999999999999977e-03,-3.995000000000000287e-03
5.801939999999999875e-01,-8.244850000000000234e-01,9.629775000000000418e+00,2.663000000000000003e-03,-4.261000000000000031e-03,-2.929000000000000180e-03
5.927670000000000439e-01,-8.173000000000000265e-01,9.579480000000000217e+00,2.131000000000000082e-03,-3.461999999999999800e-03,-3.196000000000000056e-03
5.891750000000000043e-01,-8.155040000000000067e-01,9.556129000000000318e+00,7.990000000000000140e-04,-5.330000000000000536e-04,-1.598000000000000028e-03
5.927670000000000439e-01,-8.101150000000000295e-01,9.615405000000000868e+00,-2.660000000000000146e-04,2.660000000000000146e-04,-1.863999999999999988e-03
6.035449999999999982e-01,-8.137079999999999869e-01,9.611812999999999718e+00,-5.330000000000000536e-04,1.332000000000000068e-03,-2.131000000000000082e-03
6.035449999999999982e-01,-8.316710000000000491e-01,9.611812999999999718e+00,-5.330000000000000536e-04,3.196000000000000056e-03,0.000000000000000000e+00
6.035449999999999982e-01,-8.298740000000000006e-01,9.586664999999999992e+00,-5.330000000000000536e-04,7.990000000000000140e-04,-7.990000000000000140e-04
5.981560000000000210e-01,-8.173000000000000265e-01,9.565108999999999639e+00,-1.064999999999999974e-03,5.330000000000000536e-04,-1.064999999999999974e-03
5.783970000000000500e-01,-8.388560000000000461e-01,9.570498000000000616e+00,1.064999999999999974e-03,1.863999999999999988e-03,0.000000000000000000e+00
5.783970000000000500e-01,-8.047269999999999701e-01,9.602831000000000117e+00,2.660000000000000146e-04,3.995000000000000287e-03,-1.064999999999999974e-03
5.748050000000000104e-01,-8.262819999999999609e-01,9.599237999999999715e+00,2.396999999999999825e-03,5.858999999999999625e-03,-2.396999999999999825e-03
5.909710000000000241e-01,-8.119119999999999671e-01,9.592052999999999940e+00,1.064999999999999974e-03,1.064999999999999974e-03,-1.598000000000000028e-03
5.909710000000000241e-01,-8.280779999999999808e-01,9.592052999999999940e+00,2.131000000000000082e-03,2.663000000000000003e-03,-5.330000000000000536e-04
5.766010000000000302e-01,-8.137079999999999869e-01,9.583073000000000619e+00,1.064999999999999974e-03,0.000000000000000000e+00,-2.131000000000000082e-03
5.783970000000000500e-01,-8.226890000000000036e-01,9.602831000000000117e+00,1.064999999999999974e-03,7.990000000000000140e-04,-5.330000000000000536e-04
5.837860000000000271e-01,-8.514289999999999914e-01,9.563313000000000841e+00,1.598000000000000028e-03,4.526999999999999774e-03,-5.326000000000000005e-03
5.837860000000000271e-01,-8.262819999999999609e-01,9.561517000000000266e+00,1.064999999999999974e-03,4.261000000000000031e-03,1.064999999999999974e-03
6.071379999999999555e-01,-8.208929999999999838e-01,9.613607999999999265e+00,7.990000000000000140e-04,4.526999999999999774e-03,-2.660000000000000146e-04
5.909710000000000241e-01,-8.155040000000000067e-01,9.610015999999999892e+00,1.863999999999999988e-03,5.858999999999999625e-03,5.330000000000000536e-04
5.927670000000000439e-01,-8.029300000000000326e-01,9.593849999999999767e+00,-1.863999999999999988e-03,4.526999999999999774e-03,-5.330000000000000536e-04
5.819900000000000073e-01,-8.190969999999999640e-01,9.583073000000000619e+00,1.064999999999999974e-03,5.326000000000000005e-03,2.660000000000000146e-04
5.909710000000000241e-01,-8.173000000000000265e-01,9.593849999999999767e+00,7.990000000000000140e-04,2.660000000000000146e-04,-2.929000000000000180e-03
5.909710000000000241e-01,-8.083190000000000097e-01,9.615405000000000868e+00,1.863999999999999988e-03,2.660000000000000146e-04,-1.332000000000000068e-03
5.766010000000000302e-01,-8.406519999999999548e-01,9.590258000000000393e+00,-2.660000000000000146e-04,7.990000000000000140e-04,-2.663000000000000003e-03
5.801939999999999875e-01,-8.298740000000000006e-01,9.601034999999999542e+00,2.660000000000000146e-04,1.598000000000000028e-03,-1.598000000000000028e-03
5.855820000000000469e-01,-8.262819999999999609e-01,9.588461000000000567e+00,5.330000000000000536e-04,2.131000000000000082e-03,0.000000000000000000e+00
5.766010000000000302e-01,-8.388560000000000461e-01,9.579480000000000217e+00,-5.330000000000000536e-04,3.727999999999999977e-03,-7.990000000000000140e-04
5.837860000000000271e-01,-8.316710000000000491e-01,9.574090999999999241e+00,5.330000000000000536e-04,0.000000000000000000e+00,2.660000000000000146e-04
5.837860000000000271e-01,-8.262819999999999609e-01,9.574090999999999241e+00,1.064999999999999974e-03,1.064999999999999974e-03,0.000000000000000000e+00
5.945639999999999814e-01,-8.658000000000000140e-01,9.574090999999999241e+00,2.660000000000000146e-04,1.064999999999999974e-03,5.330000000000000536e-04
5.909710000000000241e-01,-8.137079999999999869e-01,9.599237999999999715e+00,7.990000000000000140e-04,1.332000000000000068e-03,-1.332000000000000068e-03
6.035449999999999982e-01,-8.280779999999999808e-01,9.597443000000000168e+00,2.131000000000000082e-03,2.929000000000000180e-03,1.332000000000000068e-03
5.801939999999999875e-01,-8.334669999999999579e-01,9.577683000000000391e+00,-1.332000000000000068e-03,1.064999999999999974e-03,-2.660000000000000146e-04
5.748050000000000104e-01,-8.370589999999999975e-01,9.597443000000000168e+00,-2.660000000000000146e-04,3.727999999999999977e-03,-2.396999999999999825e-03
5.801939999999999875e-01,-8.334669999999999579e-01,9.611812999999999718e+00,1.064999999999999974e-03,1.064999999999999974e-03,0.000000000000000000e+00
5.730079999999999618e-01,-8.352629999999999777e-01,9.601034999999999542e+00,1.863999999999999988e-03,5.330000000000000536e-04,-1.064999999999999974e-03
6.017489999999999783e-01,-8.334669999999999579e-01,9.572295000000000442e+00,1.598000000000000028e-03,4.526999999999999774e-03,-7.990000000000000140e-04
6.017489999999999783e-01,-8.370589999999999975e-01,9.599237999999999715e+00,1.598000000000000028e-03,1.332000000000000068e-03,-1.863999999999999988e-03
5.855820000000000469e-01,-8.442439999999999944e-01,9.593849999999999767e+00,5.330000000000000536e-04,2.663000000000000003e-03,-1.332000000000000068e-03
5.927670000000000439e-01,-8.388560000000000461e-01,9.592052999999999940e+00,2.396999999999999825e-03,4.526999999999999774e-03,-1.064999999999999974e-03
5.909710000000000241e-01,-8.244850000000000234e-01,9.588461000000000567e+00,2.396999999999999825e-03,4.526999999999999774e-03,-1.064999999999999974e-03
5.766010000000000302e-01,-8.388560000000000461e-01,9.559720999999999691e+00,1.598000000000000028e-03,1.598000000000000028e-03,-2.663000000000000003e-03
5.658229999999999649e-01,-8.137079999999999869e-01,9.586664999999999992e+00,1.598000000000000028e-03,2.396999999999999825e-03,-1.064999999999999974e-03
5.783970000000000500e-01,-8.334669999999999579e-01,9.588461000000000567e+00,1.863999999999999988e-03,1.863999999999999988e-03,-2.663000000000000003e-03
5.891750000000000043e-01,-8.208929999999999838e-01,9.599237999999999715e+00,2.131000000000000082e-03,-2.660000000000000146e-04,-2.660000000000000146e-04
5.855820000000000469e-01,-8.280779999999999808e-01,9.583073000000000619e+00,2.396999999999999825e-03,3.995000000000000287e-03,-1.332000000000000068e-03
5.766010000000000302e-01,-8.155040000000000067e-01,9.577683000000000391e+00,1.064999999999999974e-03,3.196000000000000056e-03,-1.332000000000000068e-03
5.891750000000000043e-01,-8.155040000000000067e-01,9.574090999999999241e+00,-1.332000000000000068e-03,3.196000000000000056e-03,-1.863999999999999988e-03
5.676200000000000134e-01,-8.190969999999999640e-01,9.626182999999999268e+00,1.064999999999999974e-03,2.396999999999999825e-03,-2.131000000000000082e-03
5.748050000000000104e-01,-8.208929999999999838e-01,9.613607999999999265e+00,3.461999999999999800e-03,-2.660000000000000146e-04,-1.598000000000000028e-03
5.801939999999999875e-01,-8.208929999999999838e-01,9.597443000000000168e+00,1.598000000000000028e-03,5.060000000000000261e-03,-1.064999999999999974e-03
5.981560000000000210e-01,-8.244850000000000234e-01,9.570498000000000616e+00,1.863999999999999988e-03,2.929000000000000180e-03,-1.598000000000000028e-03
5.694160000000000332e-01,-8.298740000000000006e-01,9.565108999999999639e+00,2.131000000000000082e-03,5.326000000000000005e-03,-7.990000000000000140e-04
5.999520000000000408e-01,-8.370589999999999975e-01,9.602831000000000117e+00,2.396999999999999825e-03,2.396999999999999825e-03,-7.990000000000000140e-04
5.891750000000000043e-01,-8.137079999999999869e-01,9.624387000000000469e+00,1.598000000000000028e-03,4.793999999999999651e-03,-1.598000000000000028e-03
5.981560000000000210e-01,-8.262819999999999609e-01,9.602831000000000117e+00,1.598000000000000028e-03,2.929000000000000180e-03,-1.064999999999999974e-03
5.801939999999999875e-01,-8.029300000000000326e-01,9.604627999999999943e+00,1.332000000000000068e-03,4.261000000000000031e-03,-1.863999999999999988e-03
5.927670000000000439e-01,-8.352629999999999777e-01,9.617202000000000695e+00,-7.990000000000000140e-04,3.995000000000000287e-03,1.064999999999999974e-03
5.622310000000000363e-01,-8.514289999999999914e-01,9.608219999999999317e+00,-2.660000000000000146e-04,1.064999999999999974e-03,-1.863999999999999988e-03
5.891750000000000043e-01,-8.226890000000000036e-01,9.572295000000000442e+00,2.929000000000000180e-03,2.131000000000000082e-03,-1.064999999999999974e-03
5.927670000000000439e-01,-7.903559999999999475e-01,9.579480000000000217e+00,1.863999999999999988e-03,2.663000000000000003e-03,-2.660000000000000146e-04
5.712120000000000530e-01,-8.352629999999999777e-01,9.593849999999999767e+00,5.330000000000000536e-04,1.064999999999999974e-03,-2.660000000000000146e-04
5.855820000000000469e-01,-8.047269999999999701e-01,9.604627999999999943e+00,-2.660000000000000146e-04,7.990000000000000140e-04,-2.663000000000000003e-03
5.748050000000000104e-01,-8.065229999999999899e-01,9.581276000000000792e+00,1.863999999999999988e-03,-2.660000000000000146e-04,-3.196000000000000056e-03
5.927670000000000439e-01,-8.244850000000000234e-01,9.581276000000000792e+00,5.330000000000000536e-04,-1.332000000000000068e-03,-2.131000000000000082e-03
5.927670000000000439e-01,-8.244850000000000234e-01,9.627978999999999843e+00,0.000000000000000000e+00,2.396999999999999825e-03,-7.990000000000000140e-04
5.676200000000000134e-01,-8.137079999999999869e-01,9.583073000000000619e+00,1.598000000000000028e-03,3.461999999999999800e-03,-1.598000000000000028e-03
5.622310000000000363e-01,-8.280779999999999808e-01,9.559720999999999691e+00,1.863999999999999988e-03,2.131000000000000082e-03,-1.598000000000000028e-03
5.819900000000000073e-01,-8.370589999999999975e-01,9.566905999999999466e+00,1.863999999999999988e-03,1.332000000000000068e-03,-2.131000000000000082e-03
5.837860000000000271e-01,-8.424479999999999746e-01,9.615405000000000868e+00,1.332000000000000068e-03,5.330000000000000536e-04,-1.064999999999999974e-03
5.873789999999999845e-01,-8.693920000000000536e-01,9.584868000000000166e+00,5.330000000000000536e-04,2.131000000000000082e-03,-7.990000000000000140e-04
5.550460000000000393e-01,-8.155040000000000067e-01,9.561517000000000266e+00,1.598000000000000028e-03,4.526999999999999774e-03,-1.598000000000000028e-03
5.855820000000000469e-01,-8.173000000000000265e-01,9.622590000000000643e+00,1.598000000000000028e-03,3.461999999999999800e-03,-2.663000000000000003e-03
5.909710000000000241e-01,-8.083190000000000097e-01,9.613607999999999265e+00,2.396999999999999825e-03,1.332000000000000068e-03,-1.332000000000000068e-03
5.855820000000000469e-01,-8.137079999999999869e-01,9.592052999999999940e+00,1.863999999999999988e-03,4.793999999999999651e-03,7.990000000000000140e-04
5.694160000000000332e-01,-8.029300000000000326e-01,9.559720999999999691e+00,2.660000000000000146e-04,2.396999999999999825e-03,-1.332000000000000068e-03
5.873789999999999845e-01,-8.280779999999999808e-01,9.577683000000000391e+00,1.064999999999999974e-03,5.330000000000000536e-04,0.000000000000000000e+00
5.676200000000000134e-01,-8.298740000000000006e-01,9.590258000000000393e+00,2.131000000000000082e-03,2.396999999999999825e-03,-1.332000000000000068e-03
5.873789999999999845e-01,-8.173000000000000265e-01,9.613607999999999265e+00,-2.660000000000000146e-04,2.929000000000000180e-03,-1.598000000000000028e-03
5.909710000000000241e-01,-8.137079999999999869e-01,9.595646000000000342e+00,3.461999999999999800e-03,1.598000000000000028e-03,-1.598000000000000028e-03
5.712120000000000530e-01,-8.226890000000000036e-01,9.595646000000000342e+00,2.396999999999999825e-03,1.598000000000000028e-03,-2.131000000000000082e-03
5.891750000000000043e-01,-8.101150000000000295e-01,9.556129000000000318e+00,2.663000000000000003e-03,2.131000000000000082e-03,-5.330000000000000536e-04
5.658229999999999649e-01,-8.388560000000000461e-01,9.611812999999999718e+00,1.598000000000000028e-03,3.196000000000000056e-03,-1.332000000000000068e-03
5.622310000000000363e-01,-8.334669999999999579e-01,9.604627999999999943e+00,1.332000000000000068e-03,2.929000000000000180e-03,7.990000000000000140e-04
5.927670000000000439e-01,-8.406519999999999548e-01,9.595646000000000342e+00,0.000000000000000000e+00,4.526999999999999774e-03,0.000000000000000000e+00
5.891750000000000043e-01,-8.029300000000000326e-01,9.586664999999999992e+00,1.863999999999999988e-03,4.261000000000000031e-03,-1.332000000000000068e-03
5.801939999999999875e-01,-8.190969999999999640e-01,9.604627999999999943e+00,1.064999999999999974e-03,2.663000000000000003e-03,-2.131000000000000082e-03
5.801939999999999875e-01,-8.460410000000000430e-01,9.608219999999999317e+00,3.196000000000000056e-03,1.863999999999999988e-03,-2.660000000000000146e-04
5.837860000000000271e-01,-8.119119999999999671e-01,9.597443000000000168e+00,4.793999999999999651e-03,0.000000000000000000e+00,-2.396999999999999825e-03
5.748050000000000104e-01,-8.316710000000000491e-01,9.590258000000000393e+00,3.995000000000000287e-03,-1.064999999999999974e-03,-1.332000000000000068e-03
5.658229999999999649e-01,-8.226890000000000036e-01,9.570498000000000616e+00,6.125000000000000236e-03,-5.330000000000000536e-04,-2.660000000000000146e-04
5.694160000000000332e-01,-8.406519999999999548e-01,9.592052999999999940e+00,3.196000000000000056e-03,7.990000000000000140e-04,-1.332000000000000068e-03
5.604350000000000165e-01,-8.352629999999999777e-01,9.586664999999999992e+00,1.064999999999999974e-03,1.598000000000000028e-03,-2.131000000000000082e-03
5.676200000000000134e-01,-8.280779999999999808e-01,9.610015999999999892e+00,1.332000000000000068e-03,3.196000000000000056e-03,-1.863999999999999988e-03
5.783970000000000500e-01,-8.298740000000000006e-01,9.601034999999999542e+00,2.660000000000000146e-04,2.131000000000000082e-03,-1.863999999999999988e-03
5.855820000000000469e-01,-8.119119999999999671e-01,9.590258000000000393e+00,5.330000000000000536e-04,2.396999999999999825e-03,-1.598000000000000028e-03
5.837860000000000271e-01,-8.101150000000000295e-01,9.601034999999999542e+00,0.000000000000000000e+00,3.461999999999999800e-03,-2.396999999999999825e-03
5.783970000000000500e-01,-8.334669999999999579e-01,9.610015999999999892e+00,2.660000000000000146e-04,1.332000000000000068e-03,-7.990000000000000140e-04
5.676200000000000134e-01,-8.173000000000000265e-01,9.610015999999999892e+00,1.598000000000000028e-03,2.131000000000000082e-03,-1.863999999999999988e-03
5.748050000000000104e-01,-8.119119999999999671e-01,9.590258000000000393e+00,1.332000000000000068e-03,-2.660000000000000146e-04,-1.332000000000000068e-03
5.891750000000000043e-01,-8.119119999999999671e-01,9.593849999999999767e+00,1.598000000000000028e-03,2.396999999999999825e-03,-2.396999999999999825e-03
5.891750000000000043e-01,-8.190969999999999640e-01,9.597443000000000168e+00,1.598000000000000028e-03,3.727999999999999977e-03,2.660000000000000146e-04
5.712120000000000530e-01,-8.083190000000000097e-01,9.579480000000000217e+00,0.000000000000000000e+00,2.663000000000000003e-03,-2.663000000000000003e-03
5.766010000000000302e-01,-8.119119999999999671e-01,9.601034999999999542e+00,1.064999999999999974e-03,1.332000000000000068e-03,-2.660000000000000146e-04
